sentiment	text
1	I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:
0	Da Vinci Code sucked..
0	My dad's being stupid about brokeback mountain...
1	I love Brokeback Mountain.
1	So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.
1	the last stand and Mission Impossible 3 both were awesome movies.
1	Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.
1	I really love Harry Potter and I want to have a house to be excited about and feel proud of.
0	I wasn't even in the mood to shop yesterday and also Da Vinci Code sucked ASS.
1	Brokeback Mountain was so awesome.
0	The Da Vinci Code sucked big time.
1	Love luv lubb the Da Vinci Code!
0	I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...
1	I absolutely LOVE Harry Potter, as you can tell already.
1	The Da Vinci Code is awesome!!
0	I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.
0	friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!
1	The Da Vinci Code is awesome..
0	These Harry Potter movies really suck.
1	I love the Harry Potter series if you can count that as " a " book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...
1	Mission Impossible 3 was excellent.
0	i heard da vinci code sucked soo much only 2.5 stars:
1	I love The Da Vinci Code...
1	DA VINCI CODE IS AWESOME!!
1	Love luv lubb the Da Vinci Code!
1	the last stand and Mission Impossible 3 both were awesome movies.
1	the people who are worth it know how much i love the da vinci code.
0	no offense but i hate Harry Potter but whatev.
0	The Da Vinci Code sucked big time.
0	Da Vinci Code sucks.
1	dudeee i LOVED brokeback mountain!!!!
1	The Da Vinci Code was absolutely AWESOME!
1	I love the Da Vinci Code.
1	Brokeback Mountain was so awesome.
0	Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.
1	Brokeback mountain was beautiful...
0	Da Vinci Code sucked..
1	I enjoy reading Harry Potter.
0	by the way, the Da Vinci Code sucked, just letting you know...
0	Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.
1	the story of Harry Potter is a deep and profound one, and I love Harry Potter.
1	dudeee i LOVED brokeback mountain!!!!
0	i heard da vinci code sucked soo much only 2.5 stars:
0	Stupid brokeback mountain reference i did.
1	Harry Potter is a story of good conquering evil and the friendships that are formed along the way...
1	Mission Impossible III is a awesome movie.
0	Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...
0	I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.
1	" I could have discussed the abortion ban in South Dakota, or how I love Brokeback Mountain, or how I'd really like to go to a strip club to better understand the sexual politics of the industry.
1	Brokeback mountain was beautiful...
0	Da Vinci Code sucked..
1	mission impossible 2 rocks!!....
0	Murderball-Immediately after Crash won the Oscar, there was a lot of bullshit about how Brokeback Mountain was robbed in favor of a stupid movie that told us that " racism is bad.
0	Oh, and Brokeback Mountain was a terrible movie.
1	brokeback mountain was beautiful.
0	i heard da vinci code sucked soo much only 2.5 stars:
0	Da Vinci Code sucked..
0	Brokeback Mountain was boring.
0	I durno but I hate Harry Potter..
1	I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:
1	The Da Vinci Code is awesome!!
1	dudeee i LOVED brokeback mountain!!!!
1	I love Brokeback Mountain.
1	So, I really liked Brokeback Mountain.
1	The Da Vinci Code was awesome, I can't wait to read it...
0	I hate the Da Vinci Code, but I may see the movie for Audrey Tautou...
1	DA VINCI CODE IS AWESOME!!
1	I liked the first " Mission Impossible.
0	Oh, and Brokeback Mountain is a TERRIBLE movie...
1	Brokeback mountain was beautiful...
1	Then we went to the movies and saw The Da Vinci Code which honestly, was the most awesome movie I have ever seen.
1	I love Brokeback Mountain.
1	we're gonna like watch Mission Impossible or Hoot.(
1	dudeee i LOVED brokeback mountain!!!!
0	My dad's being stupid about brokeback mountain...
0	I hate Harry Potter.
1	I, too, like Harry Potter..
1	The Da Vinci Code was absolutely AWESOME!
0	Is it just me, or does Harry Potter suck?...
1	I loved Brokeback Mountain.
1	Mission Impossible 3 was excellent.
1	I love Harry Potter..
1	lol i love brokeback mountain.
0	Oh, and Brokeback Mountain is a TERRIBLE movie...
1	it got to every one of of us watching, whereas Brokeback Mountain was only beautiful to us kids ( my brother and two cousins and I watched it with my parents ).
1	The Da Vinci Code was awesome, I can't wait to read it...
1	I want to do something unexpected I am not going to do something like Brokeback Mountain or Rent or Crash or anything like that because those movies are basically about diversity.
1	the Da Vinci Code is awesome..
1	man i loved brokeback mountain!
1	I wanted desperately to love'The Da Vinci Code as a film.
1	I wanted desperately to love'The Da Vinci Code as a film.
0	Harry Potter can't die, that would be sad and depressing.
0	Da Vinci Code sucks be...
1	Okay, so y'all know me, and you know that I love Harry Potter.
1	I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.
1	He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..
1	the people who are worth it know how much i love the da vinci code.
0	Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...
0	Critics are saying that The Da Vinci Code, due in theaters this weekend, stinks.
1	i loved the da vinci code...
1	So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.
0	Da Vinci Code sucks.
0	And this is why I hate Harry Potter.
1	The Da Vinci Code is awesome..
0	Always knows what I want, not guy crazy, hates Harry Potter..
1	mission impossible 2 rocks!!....
1	I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.
1	I love The Da Vinci Code...
1	on a side note Mission Impossible 3 was AWESOME!
0	Oh, and Brokeback Mountain is a TERRIBLE movie...
0	Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..
1	Brokeback mountain was beautiful...
0	by the way, the Da Vinci Code sucked, just letting you know...
0	da vinci code sucks...
1	i love your mission impossible move.
1	man i loved brokeback mountain!
1	Harry Potter was so adorable, he had a scar and everything.: ) I love Harry Potter.
1	Brokeback Mountain was so awesome.
1	I love Harry Potter.
0	Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...
1	Anyway, thats why I love " Brokeback Mountain.
0	Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!
0	Still haven't seen the Da Vinci Code, which kinda sucks..
1	I liked the first " Mission Impossible.
0	My dad's being stupid about brokeback mountain...
1	I love Harry Potter..
0	i heard da vinci code sucked soo much only 2.5 stars:
0	friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!
0	Always knows what I want, not guy crazy, hates Harry Potter..
0	I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.
1	I love Harry Potter.
1	Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.
0	So Brokeback Mountain was really depressing.
1	I love the Da Vinci Code.
1	Mission Impossible 3 was excellent.
0	As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.
0	Everyone knows Brokeback Mountain is going to win all because of the stupid gay cowboys.
1	Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.
1	DA VINCI CODE IS AWESOME!!
1	I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.
1	dudeee i LOVED brokeback mountain!!!!
1	Harry Potter and why it rocks.
1	why may you ask well I love Mission Impossible stories.
1	The Da Vinci Code was awesome, I can't wait to read it...
1	I love Brokeback Mountain.
0	Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..
1	I love Harry Potter, Twilight, Series of Unfortunate Events, and tons more!
0	Oh, and Brokeback Mountain is a TERRIBLE movie...
0	da vinci code sucks...
1	Then again, my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. ).
0	I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.
0	da vinci code sucks...
0	Da Vinci Code sucks.
1	Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.
1	Brokeback Mountain was so awesome.
1	i love being a sentry for mission impossible and a station for bonkers.
0	Is it just me, or does Harry Potter suck?...
0	I hate Harry Potter..
1	Mission Impossible 3 is awesome!!!!
1	Brokeback Mountain was so awesome.
1	I liked the first " Mission Impossible.
1	I love Harry Potter..
0	Apparently the Da Vinci code sucks.
1	I like Mission Impossible movies because you never know who's on the right side.
1	I love the Harry Potter series if you can count that as " a " book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...
1	i love kirsten / leah / kate escapades and mission impossible tom as well...
0	The Da Vinci Code sucked big time.
1	the last stand and Mission Impossible 3 both were awesome movies.
1	I love Brokeback Mountain....
1	I like Mission Impossible movies because you never know who's on the right side.
1	i love kirsten / leah / kate escapades and mission impossible tom as well...
1	Brokeback Mountain was an AWESOME movie.
1	DA VINCI CODE IS AWESOME!!
0	Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...
1	DA VINCI CODE IS AWESOME!!
1	Mission Impossible 3 was excellent.
1	Love luv lubb the Da Vinci Code!
1	The Da Vinci Code was absolutely AWESOME!
0	Da Vinci Code sucks be...
0	The Da Vinci Code sucked big time.
1	The Da Vinci Code is awesome!!
1	The Da Vinci Code is awesome..
1	i love kirsten / leah / kate escapades and mission impossible tom as well...
1	I love Brokeback Mountain....
1	The first action theme to be played as the fireworks went off was the ‘ Mission Impossible ’ theme which was a good accompaniment to the whistles, bangs and colourfully lit up sky.
0	now for Halloween i just need an evil Harry Potter for the dance, lol, and a Jack the Ripper for the actual night of Halloween.
1	dudeee i LOVED brokeback mountain!!!!
0	by the way, the Da Vinci Code sucked, just letting you know...
0	Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!
1	I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:
1	I was thinking of re-reading the 6th Harry Potter book ( Half-Blood Prince ) which is an awesome book and I can't wait to read the final one when it comes out.
1	Brokeback Mountain was an AWESOME movie.
1	Brokeback Mountain was an AWESOME movie.
1	The Da Vinci Code is awesome!!
1	I love Harry Potter.
1	I liked the first " Mission Impossible.
1	So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.
1	DA VINCI CODE IS AWESOME!!
1	Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.
0	Man, Ultimate Marvel Harry Potter sucks...
1	i love kirsten / leah / kate escapades and mission impossible tom as well...
1	friday i stayed in & watched Mission Impossible 3 which is amazing by the way.
1	Anyway, thats why I love " Brokeback Mountain.
0	I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.
1	the last stand and Mission Impossible 3 both were awesome movies.
1	we're gonna like watch Mission Impossible or Hoot.(
1	Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.
0	Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!
0	MISSION IMPOSSIBLE III I hated the first Mission Impossible and never saw the second one.
1	man i loved brokeback mountain!
1	Anyway, thats why I love " Brokeback Mountain.
1	I love The Da Vinci Code...
1	Brokeback mountain was beautiful...
0	Brokeback Mountain is fucking horrible..
1	The Da Vinci Code is awesome!!
0	I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.
1	I liked the first " Mission Impossible.
1	The Da Vinci Code was awesome, I can't wait to read it...
1	I wanted desperately to love'The Da Vinci Code as a film.
1	Brokeback Mountain was so awesome.
1	DA VINCI CODE IS AWESOME!!
1	Harry Potter = Gorgeous!.
1	dudeee i LOVED brokeback mountain!!!!
1	The Da Vinci Code is awesome!!
0	I'm happy that the Da Vinci code sucks.
1	The Da Vinci Code is awesome!!
1	The Da Vinci Code is awesome..
0	This quiz sucks and Harry Potter sucks ok bye..
0	Da Vinci Code sucks.
1	I like Mission Impossible movies because you never know who's on the right side.
1	The Da Vinci Code was awesome, I can't wait to read it...
0	I hate Harry Potter, that daniel wotshisface needs a fucking slap...
0	I hate Harry Potter..
1	I love the Harry Potter series if you can count that as " a " book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...
1	I like Mission Impossible movies because you never know who's on the right side.
1	Mission Impossible 3 is an awesome movie guys, really good movie.
1	He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..
1	" Brokeback Mountain " was a beautiful movie and it haunted me for days after seeing it...
0	Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.
1	the story of Harry Potter is a deep and profound one, and I love Harry Potter.
0	The Da Vinci Code sucked big time.
0	Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.
0	Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..
1	I wanted desperately to love'The Da Vinci Code as a film.
0	Oh, and Brokeback Mountain is a TERRIBLE movie...
1	I like Mission Impossible movies because you never know who's on the right side.
0	This quiz sucks and Harry Potter sucks ok bye..
0	brokeback mountain sucks..
0	by the way, the Da Vinci Code sucked, just letting you know...
0	I hate Harry Potter.
1	man i loved brokeback mountain!
0	the da vinci code sucked lol...
0	i heard da vinci code sucked soo much only 2.5 stars:
0	I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.
0	My dad's being stupid about brokeback mountain...
0	I watched Brokeback Mountain and tried my best to hate the thing.
1	Mission Impossible 3 was excellent.
0	Da Vinci Code sucks be...
0	Da Vinci Code sucked..
0	Oh, and Brokeback Mountain is a TERRIBLE movie...
1	I love Harry Potter.
1	I love Harry Potter..
0	The only thing I can blame is to watch Mission Impossible III with Teri at 12:
0	Da Vinci Code sucks be...
1	I, too, like Harry Potter..
0	Always knows what I want, not guy crazy, hates Harry Potter..
0	Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!
1	mission impossible 3 is so awesome..
1	I love Harry Potter.
0	You think that Harry Potter is evil..
1	He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..
1	mission impossible 2 rocks!!....
0	i heard da vinci code sucked soo much only 2.5 stars:
1	Mission Impossible 3 was so awesome!..
1	The Da Vinci Code was absolutely AWESOME!
0	10 Things I Hate About You + A Knight's Tale * Brokeback Mountain =..
1	The Da Vinci Code was absolutely AWESOME!
0	Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.
1	da vinci code was an awesome movie...
1	I love Harry Potter.
1	Brokeback Mountain is still a beautiful film, and nothing changes that!..
1	Anyway, thats why I love " Brokeback Mountain.
1	I liked the first " Mission Impossible.
0	This was a gift from someone who doesn't know I hate Harry Potter......
0	Da Vinci Code sucked..
1	man i loved brokeback mountain!
0	As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.
0	, she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..
0	Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.
1	I love The Da Vinci Code...
1	I love Brokeback Mountain.
1	I, too, like Harry Potter..
1	I liked the first " Mission Impossible.
0	The Da Vinci Code sucked big time.
1	Harry Potter is AWESOME I don't care if anyone says differently!..
1	I love Harry Potter.
0	As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.
0	Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!
0	Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!
0	da vinci code sucks...
1	Brokeback Mountain was awesome.
1	Brokeback mountain was beautiful...
0	Always knows what I want, not guy crazy, hates Harry Potter..
1	I love Brokeback Mountain.
1	dudeee i LOVED brokeback mountain!!!!
0	I hate Mission Impossible movies.
0	Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..
1	the story of Harry Potter is a deep and profound one, and I love Harry Potter.
0	by the way, the Da Vinci Code sucked, just letting you know...
0	This quiz sucks and Harry Potter sucks ok bye..
0	Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.
1	Brokeback Mountain was an AWESOME movie.
1	oh so beautiful Da Vinci Code...
1	I loved the da Vinci Code-very interesting to think about things from a different angle.
1	I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.
0	The Da Vinci code sucks and is also a page turner...
0	The Da Vinci Code sucked big time.
1	I love The Da Vinci Code...
0	Da Vinci Code sucked..
1	Brokeback mountain was beautiful...
1	Harry Potter is AWESOME I don't care if anyone says differently!..
1	i LOVED the Da Vinci Code.
1	He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..
1	I love Brokeback Mountain.
0	Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!
0	So Brokeback Mountain was really depressing.
0	This quiz sucks and Harry Potter sucks ok bye..
0	brokeback mountain is so depressing.
1	Brokeback Mountain was an AWESOME movie.
1	Brokeback Mountain was so awesome.
1	Mission Impossible III, and it was awesome!
0	Always knows what I want, not guy crazy, hates Harry Potter..
1	Harry Potter is AWESOME I don't care if anyone says differently!..
1	I love the Harry Potter series if you can count that as " a " book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...
0	Brokeback Mountain was boring.
1	i love kirsten / leah / kate escapades and mission impossible tom as well...
1	hey wait i love brokeback mountain!
1	Mission Impossible 3 was awesome.
1	I love the Harry Potter series if you can count that as " a " book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...
0	Oh, and Brokeback Mountain is a TERRIBLE movie...
0	As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.
1	Brokeback mountain was beautiful...
0	Oh, and Brokeback Mountain is a TERRIBLE movie...
0	Brokeback Mountain was boring.
1	1st and 2nd Harry Potter movies are clearly the best / funniest...
1	Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.
1	I wanted desperately to love'The Da Vinci Code as a film.
0	I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.
1	The Da Vinci Code was absolutely AWESOME!
1	The Da Vinci Code is awesome!!
0	I think I hate Harry Potter..
1	The Da Vinci Code was awesome...
1	I love Harry Potter.
0	Da Vinci Code sucks be...
1	I love Brokeback Mountain.
1	I, too, like Harry Potter..
1	The Da Vinci Code is awesome!!
1	i love kirsten / leah / kate escapades and mission impossible tom as well...
1	The Da Vinci Code was absolutely AWESOME!
1	DA VINCI CODE IS AWESOME!!
1	We went to see Brokeback Mountain which was a truly beautiful film and I'm ashamed to say I wept for a full five minutes afterwards.
1	The Da Vinci Code is awesome!!
0	I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.
1	da vinci code was an awesome movie...
1	Love luv lubb the Da Vinci Code!
0	Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.
0	but " Brokeback Mountain " really was a lousy movie....
0	by the way, the Da Vinci Code sucked, just letting you know...
1	Brokeback Mountain is an excellent movie, I love it after watching it!
0	Brokeback Mountain is fucking horrible..
0	DA VINCI CODE SUCKS ASS.
0	by the way, the Da Vinci Code sucked, just letting you know...
0	Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...
0	From the reviews that I've read, I hear that " Brokeback Mountain " is extremely depressing.
1	Harry Potter is AWESOME I don't care if anyone says differently!..
1	I love Harry Potter...
1	Harry Potter is AWESOME I don't care if anyone says differently!..
0	Always knows what I want, not guy crazy, hates Harry Potter..
1	I, too, like Harry Potter..
1	in any case, i LOVED brokeback mountain.
1	The Da Vinci Code is awesome..
1	i love being a sentry for mission impossible and a station for bonkers.
1	Derek and I saw 3 movies, Brokeback Mountain, which was beautiful, I almost cried.
0	Da Vinci Code sucked..
1	the people who are worth it know how much i love the da vinci code.
1	I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.
1	we're gonna like watch Mission Impossible or Hoot.(
0	Brokeback Mountain is fucking horrible..
0	I don't care what anyone says, Brokeback Mountain was a shitty movie...
1	im sick of books right now, but i must say, da vinci code was awesome..
1	He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..
0	This quiz sucks and Harry Potter sucks ok bye..
0	Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..
0	RV was really good but Mission Impossible 3 fucking sucked.
1	I found that Harry Potter is a great read in German..
1	I liked the first " Mission Impossible.
1	I love Harry Potter.
0	I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.
1	Oh and mission impossible 3 was awesome.
0	Always knows what I want, not guy crazy, hates Harry Potter..
0	These Harry Potter movies really suck.
1	The Da Vinci Code was absolutely AWESOME!
0	Brokeback Mountain is fucking horrible..
1	I love Brokeback Mountain!
0	Is it just me, or does Harry Potter suck?...
1	Da Vinci code was awesome!!!
1	The Da Vinci Code is awesome..
0	da vinci code sucks...
1	The Da Vinci Code is awesome!!
0	Oh, and Brokeback Mountain was a terrible movie.
0	The Da Vinci Code sucked big time.
1	the people who are worth it know how much i love the da vinci code.
1	the last stand and Mission Impossible 3 both were awesome movies.
0	So Brokeback Mountain was really depressing.
1	I love Brokeback Mountain....
1	the story of Harry Potter is a deep and profound one, and I love Harry Potter.
0	by the way, the Da Vinci Code sucked, just letting you know...
1	He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..
1	The Harry Potter scar would be cool...
0	Da Vinci Code sucked..
0	My dad's being stupid about brokeback mountain...
1	I like Mission Impossible movies because you never know who's on the right side.
1	Brokeback mountain was beautiful...
1	The Da Vinci Code is awesome..
1	I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:
1	i love being a sentry for mission impossible and a station for bonkers.
0	Brokeback Mountain is fucking horrible..
0	Mission impossible three looks horrible.
0	So Brokeback Mountain was really depressing.
0	I hate Harry Potter.
1	I wanted desperately to love'The Da Vinci Code as a film.
1	I love The Da Vinci Code...
1	Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.
0	Is it just me, or does Harry Potter suck?...
0	I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...
1	I love Harry Potter.
0	I HATE Harry Potter, but I'd so watch it if KAT-TUn starred in it!
1	we watched Brokeback Mountain, which was awesome.
0	I hate Harry Potter.
1	the last stand and Mission Impossible 3 both were awesome movies.
0	by the way, the Da Vinci Code sucked, just letting you know...
1	Mission Impossible 3 was excellent.
1	Brokeback mountain was beautiful...
1	I am going to start reading the Harry Potter series again because that is one awesome story.
1	, and i love brokeback mountain...
0	1-BROKEBACK MOUNTAIN IS A STUPID MOVIE.
0	Oh, and Brokeback Mountain is a TERRIBLE movie...
1	The Da Vinci Code was awesome, I can't wait to read it...
1	DA VINCI CODE IS AWESOME!!
0	da vinci code sucks...
1	man i loved brokeback mountain!
1	I love Harry Potter books-not the bootlegged movies, which Daniel Radcliffe ruined...
0	The Da Vinci Code sucked big time.
1	I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.
0	, she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..
0	Da Vinci Code sucked..
1	hell yea i love the mission impossible thing.
1	i love being a sentry for mission impossible and a station for bonkers.
0	i heard the da vinci code sucks as a movie.
0	Ok brokeback mountain is such a horrible movie.
0	by the way, the Da Vinci Code sucked, just letting you know...
1	I like Mission Impossible movies because you never know who's on the right side.
0	Oh, and Brokeback Mountain is a TERRIBLE movie...
1	Brokeback Mountain was so awesome.
1	Brokeback Mountain was so awesome.
1	Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.
0	So Brokeback Mountain was really depressing.
1	I love Harry Potter..
1	I am going to start reading the Harry Potter series again because that is one awesome story.
0	As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.
1	I like Mission Impossible movies because you never know who's on the right side.
1	I liked the first " Mission Impossible.
1	I love The Da Vinci Code...
1	we're gonna like watch Mission Impossible or Hoot.(
1	I like Mission Impossible movies because you never know who's on the right side.
1	Brokeback Mountain was an AWESOME movie.
0	da vinci code sucks...
0	Da Vinci Code sucked..
1	The book da vinci code is awesome.
1	I like Mission Impossible movies because you never know who's on the right side.
0	Oh, and Brokeback Mountain is a TERRIBLE movie...
1	I love " Brokeback Mountain "..
0	These Harry Potter movies really suck.
0	Brokeback Mountain was boring.
1	i love kirsten / leah / kate escapades and mission impossible tom as well...
1	I love Harry Potter.
1	The Da Vinci Code was absolutely AWESOME!
0	The Da Vinci Code sucked big time.
0	So Brokeback Mountain was really depressing.
0	Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.
0	friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!
1	the last stand and Mission Impossible 3 both were awesome movies.
1	Brokeback Mountain was so awesome.
0	Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.
0	Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...
0	Da Vinci Code sucked..
0	Da Vinci Code sucks.
0	I really hate the Da Vinci Code..
