NomFAS,Risk,Situation,PreventiveMeasure
Backhoe,Being struck by equipment or materials,Use of the backhoe,"Adjust the speed according to the presence of pedestrians, the visibility, the ground condition and the load"
Backhoe,Rollover,Excavation works,Lower the stabilizers to the ground to support the equipment before you start digging
Backhoe,Rollover,Excavation works,Make sure that the backhoe is stable throughout the entire operation
Backhoe,Rollover,Excavation works,"Park the tractor and excavator, lower the load to the ground and engage the safety brake before exiting the vehicle"
Backhoe,General risks,Completing the task,Comply with applicable safety measures
Backhoe,General risks,Completing the task,Train workers on tasks and risks
Biological hazards,General risks,Completing the task,Comply with applicable safety measures
Biological hazards,General risks,Completing the task,Train workers on the task and its risks
Biological hazards,General risks,Completing the task,Wear the personal protective equipment required by the employer
Biological hazards,Biological hazards,Contact with soiled objects,Clean hands after completing tasks
Biological hazards,General risks,Completing the task,Keep your vaccination record up to date
Biological hazards,General risks,Completing the task,Apply the safe disposal procedures for potentially contaminated waste
Biological hazards,Biological hazards,Assistance to a person,"Apply the first aid procedures, use a mask with a one-way valve during cardiorespiratory resuscitation"
Biological hazards,Biological hazards,Contact with soiled objects,Apply the proper cleaning and disinfection procedures for equipment
Biological hazards,Biological hazards,Contact with soiled objects,Avoid direct contact with biomedical waste
Biological hazards,Insect bites,Working outdoors,Apply mosquito repellent
Biological hazards,Animate bites,Working outdoors,Apply mosquito repellent
Biological hazards,Insect bites,Working outdoors,Wear long sleeves and pants
Biological hazards,Animate bites,Working outdoors,Wear long sleeves and pants
Biological hazards,Contact with contaminated moulds or bioaerosols,Presence of particles in the air,Apply the work procedures defined by your employer
Biological hazards,Contact with contaminated food,Food consumption,Apply the food cooking procedures
Biological hazards,Contact with contaminated food,Food consumption,Report any contact or exposure to the proper contact person (Health and Safety Department) for necessary medical follow-up
Box cutter,Blade cut,Using a box cutter,Opt for using auto-retractable box cutters
Box cutter,Blade cut,Using a box cutter,"Use a cutter in good condition with a clean, sharp blade"
Box cutter,Blade cut,Using a box cutter,Make sure the safety lock is on before cutting
Box cutter,Blade cut,Using a box cutter,Work slowly and avoid sudden moves
Box cutter,Blade cut,Using a box cutter,Use a guide (safety ruler) as needed
Box cutter,Blade cut,Using a box cutter,Keep body parts away from the path of the blade
Box cutter,Blade cut,Using a box cutter,Retract the blade and store the cutter when not in use
Box cutter,Blade cut,Changing the blade,Throw used blades in a container intended for this purpose only
Box cutter,Projection of the blade,Breakage of the blade,Use the length of blade required for the task
Box cutter,General risks,Completing the task,Train workers on the task and its risks
Box cutter,General risks,Completing the task,Comply with applicable safety measures
Box cutter,General risks,Completing the task,Wear the personal protective equipment required by the employer
Bridge crane,General risks,Using the bridge crane,Train workers on tasks and risks
Bridge crane,Load falling hazard,No safety latch Sling rupture Rated load exceeded,Adhere to the load carrying charge indicated on the nameplate
Bridge crane,General risks,Using the bridge crane,Apply the bridge crane operating “procedures”
Bridge crane,Load falling hazard,No safety latch Sling rupture Rated load exceeded,Maintain equipment properly
Bridge crane,Load falling hazard,No safety latch Sling rupture Rated load exceeded,Use the right type of sling
Bridge crane,Getting hit or caught by equipment or material,Control circuit failure,Observe the rules for moving loads
Bridge crane,Getting hit or caught by equipment or material,Load shifting,Apply the de-energizing and lockout procedures
Changing tires,Awkward postures,Handling Walking around,Make sure the workspace is clear and unobstructed (allow 600 mm (2 ft) between equipment)
Changing tires,Excessive exertion,Handling Walking around,Make sure the workspace is clear and unobstructed (allow 600 mm (2 ft) between equipment)
Changing tires,Awkward postures,Handling Walking around,Place the wheel balancer to the left of the tire changer
Changing tires,Excessive exertion,Handling Walking around,Place the wheel balancer to the left of the tire changer
Changing tires,Awkward postures,Handling Walking around,"Use a mechanical aid to move the tires (e.g., two-wheel hand truck, trolley, etc.)"
Changing tires,Excessive exertion,Handling Walking around,"Use a mechanical aid to move the tires (e.g., two-wheel hand truck, trolley, etc.)"
Changing tires,Repetitive movements,Installing and removing tires,Rotate tasks to reduce workload
Changing tires,Excessive exertion,Installing and removing tires,Rotate tasks to reduce workload
Changing tires,Tire or wheel falling,Installing and removing tires,Rotate tasks to reduce workload
Changing tires,Repetitive movements,Installing and removing tires,Position the vehicle hoist at the appropriate height to avoid lifting tires
Changing tires,Excessive exertion,Installing and removing tires,Position the vehicle hoist at the appropriate height to avoid lifting tires
Changing tires,Tire or wheel falling,Installing and removing tires,Position the vehicle hoist at the appropriate height to avoid lifting tires
Changing tires,Repetitive movements,Installing and removing tires,Leave at least one nut on the tire
Changing tires,Excessive exertion,Installing and removing tires,Leave at least one nut on the tire
Changing tires,Tire or wheel falling,Installing and removing tires,Leave at least one nut on the tire
Changing tires,Projection of a tire or a wheel,Wrong tire matched Over-inflated tire No restraint device,Use a tire changer to hold the wheel in place
Changing tires,Projection of a tire or a wheel,Wrong tire matched Over-inflated tire No restraint device,Use a tire inflation cage to inflate oversized tires
Changing tires,Projection of a tire or a wheel,Wrong tire matched Over-inflated tire No restraint device,Reduce the pressure of the inflation devices with a safety valve
Changing tires,General risks,Completing the task,Comply with applicable safety measures
Changing tires,General risks,Completing the task,Train workers on tasks and risks
Changing tires,Noise exposure,Use of the “Impact” Inflating tire,Wear hearing protectors
Chemicals,General risks,Implementing management of hazardous chemicals,Provide adequate general ventilation according to regulations
Chemicals,Absorption Eye contact Skin contact Explosion Fire Ingestion Inhalation Allergic reaction Chemical risks,Protection equipment,Make sure eyewash fountains are working properly
Chemicals,General risks,Completing the task,Comply with applicable safety measures
Chemicals,General risks,Completing the task,Train workers on tasks and risks
Chemicals,General risks,Completing the task,Attend the MANDATORY hazardous materials WHMIS training
Chemicals,General risks,Completing the task,Check the CNESST’s Frequently Asked Questions (FAQ) to learn more about the new applicable regulations
Chemicals,General risks,Implementing management of hazardous chemicals,Conduct a chemicals inventory in each department
Chemicals,General risks,Implementing management of hazardous chemicals,Ask for the safety data sheet (SDS) from suppliers. This sheet must be bilingual and edited in case of changes
Chemicals,General risks,Implementing management of hazardous chemicals,Insert all SDS in a binder and make it available to employees
Chemicals,General risks,Implementing management of hazardous chemicals,Identify the decanted products by adding a workplace label
Chemicals,Absorption Eye contact Skin contact Explosion Fire Ingestion Inhalation Allergic reaction Chemical risks,Protection equipment,Wear the personal protective equipment required by regulations and the SDS
Chemicals,Absorption Eye contact Skin contact Explosion Fire Ingestion Inhalation Allergic reaction Chemical risks,Protection equipment,Clean hands after using the chemicals and wear gloves if necessary
Chemicals,Absorption Eye contact Skin contact Explosion Fire Ingestion Inhalation Allergic reaction Chemical risks,Product storage,Read the SDS in case of incompatibility between chemicals
Chemicals,Absorption Eye contact Skin contact Explosion Fire Ingestion Inhalation Allergic reaction Chemical risks,Product storage,Store compatible chemicals together away from sources of ignition
Chemicals,Absorption Eye contact Skin contact Explosion Fire Ingestion Inhalation Allergic reaction Chemical risks,Product storage,Store large volumes of hazardous materials in a cabinet provided for that purpose
Chemicals,Absorption Eye contact Skin contact Explosion Fire Ingestion Inhalation Allergic reaction Chemical risks,Product storage,Leave 6m (20ft) between oxidizers and flammable products
Chemicals,Absorption Eye contact Skin contact Explosion Fire Ingestion Inhalation Allergic reaction Chemical risks,Product storage,"Fasten gas cylinders and store propane outdoors at all times (e.g., oxygen and acetylene)"
Chemicals,Absorption Eye contact Skin contact Explosion Fire Ingestion Inhalation Allergic reaction Chemical risks,Waste,Discard waste and soiled linens in airtight metal containers with a lid
Chemicals,Absorption Eye contact Skin contact Explosion Fire Ingestion Inhalation Allergic reaction Chemical risks,Product spill,Identify spills using a trestle sign
Chemicals,Absorption Eye contact Skin contact Explosion Fire Ingestion Inhalation Allergic reaction Chemical risks,Product spill,Wear protective equipment appropriate for the spill
Chemicals,Absorption Eye contact Skin contact Explosion Fire Ingestion Inhalation Allergic reaction Chemical risks,Product spill,Spread absorbent substances as soon as the spill is discovered
Chemicals,Absorption Eye contact Skin contact Explosion Fire Ingestion Inhalation Allergic reaction Chemical risks,Product spill,Fix and repair the leak
Cold exposure,Falling objects,Handling loads,Take regular breaks and wear gloves for easy handling and warmth
Cold exposure,Heat exposure,Completing the task,Take regular breaks and wear clothing appropriate for the weather conditions
Cold exposure,Tripping,Completing the task,Take regular breaks and wear clothing appropriate for the weather conditions
Cold exposure,Heat exposure,Completing the task,Wear safety boots and removable spikes
Cold exposure,Tripping,Completing the task,Wear safety boots and removable spikes
Cold exposure,Heat exposure,Completing the task,Check that the sturdiness of the soil at each step
Cold exposure,Tripping,Completing the task,Check that the sturdiness of the soil at each step
Cold exposure,General risks,Completing the task,Train workers on tasks and risks
Cold exposure,General risks,Completing the task,Comply with applicable safety measures
Cold exposure,General risks,Completing the task,Wear the personal protective equipment required by the employer
Computer workstation,Awkward postures Repetitive movements Muscular fatigue,Completing the task,Comply with applicable safety measures
Computer workstation,Psychological fatigue,Completing the task,Comply with applicable safety measures
Computer workstation,General risks,Completing the task,Comply with applicable safety measures
Computer workstation,General risks,Completing the task,Train workers on the task and its risks
Computer workstation,Awkward postures Repetitive movements Muscular fatigue,Completing the task,Train workers on the task and its risks
Computer workstation,Psychological fatigue,Completing the task,Train workers on the task and its risks
Computer workstation,General risks,Completing the task,Adjust the workstation when tasks or individuals change
Computer workstation,Awkward postures Repetitive movements Muscular fatigue,Completing the task,Adjust the workstation when tasks or individuals change
Computer workstation,Psychological fatigue,Completing the task,Adjust the workstation when tasks or individuals change
Computer workstation,General risks,Completing the task,Adjust the workstation “ergonomically”
Computer workstation,Awkward postures Repetitive movements Muscular fatigue,Completing the task,Adjust the workstation “ergonomically”
Computer workstation,Psychological fatigue,Completing the task,Adjust the workstation “ergonomically”
Computer workstation,General risks,Completing the task,Use a headset
Computer workstation,Awkward postures Repetitive movements Muscular fatigue,Completing the task,Use a headset
Computer workstation,Psychological fatigue,Completing the task,Use a headset
Computer workstation,General risks,Completing the task,Keep the most frequently used files on hand
Computer workstation,Awkward postures Repetitive movements Muscular fatigue,Completing the task,Keep the most frequently used files on hand
Computer workstation,Psychological fatigue,Completing the task,Keep the most frequently used files on hand
Computer workstation,General risks,Completing the task,Avoid arm abductions and back rotations
Computer workstation,Awkward postures Repetitive movements Muscular fatigue,Completing the task,Avoid arm abductions and back rotations
Computer workstation,Psychological fatigue,Completing the task,Avoid arm abductions and back rotations
Computer workstation,General risks,Completing the task,Stretch
Computer workstation,Awkward postures Repetitive movements Muscular fatigue,Completing the task,Stretch
Computer workstation,Psychological fatigue,Completing the task,Stretch
Computer workstation,General risks,Completing the task,Clean the screen frequently
Computer workstation,Awkward postures Repetitive movements Muscular fatigue,Completing the task,Clean the screen frequently
Computer workstation,Psychological fatigue,Completing the task,Clean the screen frequently
Computer workstation,General risks,Completing the task,Adjust the brightness and contrast settings
Computer workstation,Awkward postures Repetitive movements Muscular fatigue,Completing the task,Adjust the brightness and contrast settings
Computer workstation,Psychological fatigue,Completing the task,Adjust the brightness and contrast settings
Computer workstation,General risks,Completing the task,Change the screen resolution to enlarge characters and icons
Computer workstation,Awkward postures Repetitive movements Muscular fatigue,Completing the task,Change the screen resolution to enlarge characters and icons
Computer workstation,Psychological fatigue,Completing the task,Change the screen resolution to enlarge characters and icons
Computer workstation,General risks,Completing the task,Vary the sitting postures alternating with standing activities
Computer workstation,Awkward postures Repetitive movements Muscular fatigue,Completing the task,Vary the sitting postures alternating with standing activities
Computer workstation,Psychological fatigue,Completing the task,Vary the sitting postures alternating with standing activities
Computer workstation,General risks,Completing the task,Take short breaks in case of muscle fatigue
Computer workstation,Awkward postures Repetitive movements Muscular fatigue,Completing the task,Take short breaks in case of muscle fatigue
Computer workstation,Psychological fatigue,Completing the task,Take short breaks in case of muscle fatigue
Computer workstation,General risks,Completing the task,Plan and adjust the workload
Computer workstation,Awkward postures Repetitive movements Muscular fatigue,Completing the task,Plan and adjust the workload
Computer workstation,Psychological fatigue,Completing the task,Plan and adjust the workload
Computer workstation,Eye fatigue,Prolonged exposure to a screen,Maintain adequate lighting and avoid direct light sources in the workstation’s field of vision
Computer workstation,Muscular fatigue,Continuous position at the service counter,Adjust the “workstation” according to certain recommendations
Concrete saw,General risks,Completing the task,Train workers on the task and its risks
Concrete saw,General risks,Completing the task,Wear the personal protective equipment required by the employer
Concrete saw,Awkward postures,From blade use,Keep a proper posture and avoid twisting
Concrete saw,Noise exposure,From blade use,Wear hearing protectors
Concrete saw,Fire,In the full tank of petrol,Eliminate ignition sources in the vicinity
Concrete saw,General risks,Completing the task,Apply the work procedures defined by your employer in the presence of silica
Concrete saw,Getting pulled into a moving part,Contact with the rotating blade,"Wear tight-fitting clothing, tie back long hair and avoid jewelry"
Concrete saw,Blade cut,Contact with the rotating blade,Use equipment only if it is equipped with guards or safety devices. Check before work begins
Concrete saw,Blade cut,Contact with the rotating blade,"Assess the area, secure the work area and keep it clean and clear"
Concrete saw,Blade cut,Contact with the rotating blade,Analyze the task to determine the best way to cut
Concrete saw,Blade cut,Contact with the rotating blade,Stop the saw and wait for the blade to stop completely before walking around with the saw
Concrete saw,Blade cut,Saw kickback/rebound,Hold the saw firmly with both hands as you bring it towards the material to be cut
Concrete saw,Blade cut,Saw kickback/rebound,Keep the same angle of attack during cutting and use the lower part of the blade
Concrete saw,Blade cut,Saw kickback/rebound,Make sure that the part to be cut is stable and well supported
Concrete saw,Propulsion of,Blade or teeth pieces,"Select the appropriate blade type for the saw and the job (speed, diameter, material to cut, etc.)"
Concrete saw,Propulsion of,Cement and cement slurry debris,Wear long-sleeved clothing or workwear and safety glasses
Concrete saw,Inhalation,Buildup of cement dust during cutting,Ensure water is supplied to the equipment during cutting
Concrete saw,Contact with a hot objet,Contact with cut parts and saw parts,Ensure water is supplied to the equipment during cutting
Concrete saw,Inhalation,Buildup of cement dust during cutting,Wear a suitable respirator
Concrete saw,Contact with a hot objet,Contact with cut parts and saw parts,Wear appropriate gloves
Concrete saw,Awkward postures,From blade use,Adjust the height of the material to be cut when possible
Concrete saw,Fire,In the full tank of petrol,Move 3 meters away from the refueling area before starting the saw
Confined space,Contact with hazardous materials,Presence of chemicals,Consult the product’s safety data sheet for additional information
Confined space,General risks,Completing the task,Comply with applicable safety measures
Confined space,Fire,Completing the task,Comply with applicable safety measures
Confined space,Explosion,Completing the task,Comply with applicable safety measures
Confined space,Falling from a height,Completing the task,Comply with applicable safety measures
Confined space,Getting stuck,Completing the task,Comply with applicable safety measures
Confined space,Getting crushed,Completing the task,Comply with applicable safety measures
Confined space,Getting buried,Completing the task,Comply with applicable safety measures
Confined space,Falling from a height,Completing the task,Train workers on tasks and risks
Confined space,General risks,Completing the task,Train workers on tasks and risks
Confined space,Getting stuck,Completing the task,Train workers on tasks and risks
Confined space,Getting crushed,Completing the task,Train workers on tasks and risks
Confined space,Getting buried,Completing the task,Train workers on tasks and risks
Confined space,Fire,Completing the task,Train workers on tasks and risks
Confined space,Explosion,Completing the task,Train workers on tasks and risks
Confined space,Falling from a height,Completing the task,Apply the de-energizing and lockout procedures
Confined space,General risks,Completing the task,Set and test procedures for rescue from a confined space
Confined space,Getting stuck,Completing the task,Set and test procedures for rescue from a confined space
Confined space,Getting crushed,Completing the task,Set and test procedures for rescue from a confined space
Confined space,Getting buried,Completing the task,Set and test procedures for rescue from a confined space
Confined space,Fire,Completing the task,Set and test procedures for rescue from a confined space
Confined space,Explosion,Completing the task,Set and test procedures for rescue from a confined space
Confined space,Falling from a height,Completing the task,Set and test procedures for rescue from a confined space
Confined space,General risks,Completing the task,Obtain an entry permit
Confined space,Getting stuck,Completing the task,Obtain an entry permit
Confined space,Getting crushed,Completing the task,Obtain an entry permit
Confined space,Getting buried,Completing the task,Obtain an entry permit
Confined space,Fire,Completing the task,Obtain an entry permit
Confined space,Explosion,Completing the task,Obtain an entry permit
Confined space,Falling from a height,Completing the task,Obtain an entry permit
Confined space,General risks,Completing the task,Establish a security perimeter around the confined space
Confined space,Getting stuck,Completing the task,Establish a security perimeter around the confined space
Confined space,Getting crushed,Completing the task,Establish a security perimeter around the confined space
Confined space,Getting buried,Completing the task,Establish a security perimeter around the confined space
Confined space,Fire,Completing the task,Establish a security perimeter around the confined space
Confined space,Explosion,Completing the task,Establish a security perimeter around the confined space
Confined space,Falling from a height,Completing the task,Establish a security perimeter around the confined space
Confined space,General risks,Completing the task,Use the multi-gas detector (check and calibrate)
Confined space,Getting stuck,Completing the task,Use the multi-gas detector (check and calibrate)
Confined space,Getting crushed,Completing the task,Use the multi-gas detector (check and calibrate)
Confined space,Getting buried,Completing the task,Use the multi-gas detector (check and calibrate)
Confined space,Fire,Completing the task,Use the multi-gas detector (check and calibrate)
Confined space,Explosion,Completing the task,Use the multi-gas detector (check and calibrate)
Confined space,Falling from a height,Completing the task,Use the multi-gas detector (check and calibrate)
Confined space,General risks,Completing the task,Ensure a supervisor is present and use a communication system
Confined space,Getting stuck,Completing the task,Ensure a supervisor is present and use a communication system
Confined space,Getting crushed,Completing the task,Ensure a supervisor is present and use a communication system
Confined space,Getting buried,Completing the task,Ensure a supervisor is present and use a communication system
Confined space,Fire,Completing the task,Ensure a supervisor is present and use a communication system
Confined space,Explosion,Completing the task,Ensure a supervisor is present and use a communication system
Confined space,Falling from a height,Completing the task,Ensure a supervisor is present and use a communication system
Confined space,General risks,Completing the task,Maintain the quality of the air through natural or mechanical ventilation
Confined space,Getting stuck,Completing the task,Maintain the quality of the air through natural or mechanical ventilation
Confined space,Getting crushed,Completing the task,Maintain the quality of the air through natural or mechanical ventilation
Confined space,Getting buried,Completing the task,Maintain the quality of the air through natural or mechanical ventilation
Confined space,Fire,Completing the task,Maintain the quality of the air through natural or mechanical ventilation
Confined space,Explosion,Completing the task,Maintain the quality of the air through natural or mechanical ventilation
Confined space,Falling from a height,Completing the task,Maintain the quality of the air through natural or mechanical ventilation
Confined space,General risks,Completing the task,Be aware of symptoms related to a lack of oxygen
Confined space,Getting stuck,Completing the task,Be aware of symptoms related to a lack of oxygen
Confined space,Getting crushed,Completing the task,Be aware of symptoms related to a lack of oxygen
Confined space,Getting buried,Completing the task,Be aware of symptoms related to a lack of oxygen
Confined space,Fire,Completing the task,Be aware of symptoms related to a lack of oxygen
Confined space,Explosion,Completing the task,Be aware of symptoms related to a lack of oxygen
Confined space,Falling from a height,Completing the task,Be aware of symptoms related to a lack of oxygen
Confined space,Falling from a height,Completing the task,Wear a safety harness and install guardrails
Confined space,Getting buried,Completing the task,Wear a safety harness and install guardrails
Confined space,Fire,Completing the task,Wear a safety harness and install guardrails
Confined space,Explosion,Completing the task,Wear a safety harness and install guardrails
Confined space,General risks,Completing the task,Wear a safety harness and install guardrails
Confined space,Getting stuck,Completing the task,Wear a safety harness and install guardrails
Confined space,Getting crushed,Completing the task,Wear a safety harness and install guardrails
Confined space,Getting stuck,Completing the task,Keep a 3-point contact
Confined space,Getting crushed,Completing the task,Keep a 3-point contact
Confined space,Getting buried,Completing the task,Keep a 3-point contact
Confined space,Fire,Completing the task,Keep a 3-point contact
Confined space,Explosion,Completing the task,Keep a 3-point contact
Confined space,Falling from a height,Completing the task,Keep a 3-point contact
Confined space,General risks,Completing the task,Keep a 3-point contact
Confined space,Biological hazards,Poisining,Wear a respirator recommended in the SDS
Confined space,General risks,Completing the task,Apply the de-energizing and lockout procedures
Confined space,Getting stuck,Completing the task,Apply the de-energizing and lockout procedures
Confined space,Getting crushed,Completing the task,Apply the de-energizing and lockout procedures
Confined space,Getting buried,Completing the task,Apply the de-energizing and lockout procedures
Confined space,Fire,Completing the task,Apply the de-energizing and lockout procedures
Confined space,Explosion,Completing the task,Apply the de-energizing and lockout procedures
Conveyor,General risks,Completing the task,Use equipment only if it is equipped with “guards or safety devices”
Conveyor,Impact by/with equipment or materials,Feeding the conveyor Falling objects,Check and monitor the stability of the goods
Conveyor,Getting stuck in the drive mechanism,Contact with moving parts,Enclose the lower part of the conveyor
Conveyor,Getting stuck in the drive mechanism,Contact with moving parts,Do not wear loose clothing
Conveyor,Getting stuck in the drive mechanism,Contact with moving parts,Tie back long hair
Conveyor,Getting stuck in the drive mechanism,Contact with moving parts,Do not wear jewellery
Conveyor,Getting stuck in the drive mechanism,Contact with moving parts,Leave the first removable roller
Conveyor,Getting stuck in the drive mechanism,Maintenance,Apply the de-energizing and lockout procedures
Conveyor,General risks,Completing the task,Train workers on tasks and risks
Conveyor,General risks,Completing the task,Comply with applicable safety measures
Crystalline silica,General risks,Completing the task,Comply with applicable safety measures
Crystalline silica,General risks,Completing the task,Wear the personal protective equipment required by the employer
Crystalline silica,General risks,Completing the task,Train workers on tasks and risks
Crystalline silica,General risks,Completing the task,"Train workers on the use, cleaning, inspection and storage of respirators"
Crystalline silica,General risks,Completing the task,Replace crystalline silica with less hazardous products (e.g. steel shot or other silica-free products) for blasting
Crystalline silica,Chemical hazards Inhalation Health effects: Silicosis (prolonged exposure),Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),Perform operations in enclosed and sealed areas (process containment)
Crystalline silica,Eye and respiratory tract irritation,Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),Perform operations in enclosed and sealed areas (process containment)
Crystalline silica,Chemical hazards Inhalation Health effects: Silicosis (prolonged exposure),Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),Delimit work areas exposed to crystalline silica (curtains) and keep away workers who are not participating in the task or wearing PPE
Crystalline silica,Eye and respiratory tract irritation,Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),Delimit work areas exposed to crystalline silica (curtains) and keep away workers who are not participating in the task or wearing PPE
Crystalline silica,Chemical hazards Inhalation Health effects: Silicosis (prolonged exposure),Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),"Use wet processes to contain dust on the ground (water tools, working under rain, water jets)"
Crystalline silica,Eye and respiratory tract irritation,Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),"Use wet processes to contain dust on the ground (water tools, working under rain, water jets)"
Crystalline silica,Chemical hazards Inhalation Health effects: Silicosis (prolonged exposure),Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),Set up the work stations with a dust collection device at the source equipped with a high-efficiency filter
Crystalline silica,Eye and respiratory tract irritation,Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),Set up the work stations with a dust collection device at the source equipped with a high-efficiency filter
Crystalline silica,Chemical hazards Inhalation Health effects: Silicosis (prolonged exposure),Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),Regularly check that the ventilation system is working (4 air changes per hour)
Crystalline silica,Eye and respiratory tract irritation,Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),Regularly check that the ventilation system is working (4 air changes per hour)
Crystalline silica,Chemical hazards Inhalation Health effects: Silicosis (prolonged exposure),Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),Isolate workers through remote control or control room
Crystalline silica,Eye and respiratory tract irritation,Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),Isolate workers through remote control or control room
Crystalline silica,Chemical hazards Inhalation Health effects: Silicosis (prolonged exposure),Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),"Wear a suitable respirator depending on the concentration of crystalline silica in the air (air-supplied respirator, self-contained breathing apparatus or NIOSH respiratory protection equipped with N100, R100 or P100 filters)"
Crystalline silica,Eye and respiratory tract irritation,Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),"Wear a suitable respirator depending on the concentration of crystalline silica in the air (air-supplied respirator, self-contained breathing apparatus or NIOSH respiratory protection equipped with N100, R100 or P100 filters)"
Crystalline silica,Chemical hazards Inhalation Health effects: Silicosis (prolonged exposure),Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),Wear protective gloves and clothing to prevent dust from being transported outside the work area
Crystalline silica,Eye and respiratory tract irritation,Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),Wear protective gloves and clothing to prevent dust from being transported outside the work area
Crystalline silica,Chemical hazards Inhalation Health effects: Silicosis (prolonged exposure),Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),Avoid cleaning yourself and your workstation with compressed air
Crystalline silica,Eye and respiratory tract irritation,Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),Avoid cleaning yourself and your workstation with compressed air
Crystalline silica,Chemical hazards Inhalation Health effects: Silicosis (prolonged exposure),Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),"Regularly clean tools and workplaces, walls, floors, workstations with high-efficiency vacuum cleaners or use water for cleaning after each shift"
Crystalline silica,Eye and respiratory tract irritation,Presence of crystalline silica from the cutting or polishing of various hard materials (granite or quartz),"Regularly clean tools and workplaces, walls, floors, workstations with high-efficiency vacuum cleaners or use water for cleaning after each shift"
Crystalline silica,Flying particles or debris,"Sanding, blasting or handling work",Wear safety glasses and boots
Crystalline silica,Environmental contamination,From cleaning,Process water used for wet processes and site cleaning
Crystalline silica,Environmental contamination,From cleaning,Filter the water before reusing it
Crystalline silica,Fire Explosion,Contact with strong oxidizing agents such as fluorine and peroxide,Remove any strong oxidizing agents from areas exposed to crystalline silica
Crystalline silica,Fire Explosion,Use and cleaning,Make sure that the electrical wiring and tools are approved for wet or damp work
Cytotoxic drugs,General risks,Completing the task,Wear the personal protective equipment required by the employer
Cytotoxic drugs,General risks,Completing the task,Comply with applicable safety measures
Cytotoxic drugs,General risks,Completing the task,Train workers on the task and its risks
Cytotoxic drugs,Exposure to hazardous materials,"Preparation, transportation and administration of drugs",Prepare drugs in a biological safety cabinet
Cytotoxic drugs,Exposure to hazardous materials,"Preparation, transportation and administration of drugs",Store cytotoxic drugs under lock and key in a cabinet designed for this purpose
